Date,Responses,ObjectId
2021/01/01,366,1
2021/01/02,314,2
2021/01/03,323,3
2021/01/04,358,4
2021/01/05,324,5
2021/01/06,346,6
2021/01/07,311,7
2021/01/08,360,8
2021/01/09,333,9
2021/01/10,346,10
2021/01/11,306,11
2021/01/12,325,12
2021/01/13,399,13
2021/01/14,344,14
2021/01/15,385,15
2021/01/16,303,16
2021/01/17,316,17
2021/01/18,325,18
2021/01/19,302,19
2021/01/20,314,20
2021/01/21,332,21
2021/01/22,350,22
2021/01/23,278,23
2021/01/24,262,24
2021/01/25,338,25
2021/01/26,352,26
2021/01/27,297,27
2021/01/28,309,28
2021/01/29,356,29
2021/01/30,311,30
2021/01/31,319,31
2021/02/01,342,32
2021/02/02,316,33
2021/02/03,355,34
2021/02/04,379,35
2021/02/05,360,36
2021/02/06,304,37
2021/02/07,322,38
2021/02/08,346,39
2021/02/09,372,40
2021/02/10,349,41
2021/02/11,366,42
2021/02/12,356,43
2021/02/13,291,44
2021/02/14,338,45
2021/02/15,279,46
2021/02/16,380,47
2021/02/17,336,48
2021/02/18,418,49
2021/02/19,417,50
2021/07/20,367,51
2021/07/21,431,52
2021/07/22,392,53
2021/07/23,393,54
2021/07/24,385,55
2021/07/25,350,56
2021/07/26,358,57
2021/07/27,376,58
2021/07/28,393,59
2021/07/29,354,60
2021/07/30,303,61
2021/07/31,376,62
2021/08/01,432,63
2021/08/02,382,64
2021/08/03,340,65
2021/08/04,341,66
2021/08/05,348,67
2021/08/06,364,68
2021/08/07,369,69
2021/08/08,331,70
2021/08/09,360,71
2021/08/10,384,72
2021/08/11,444,73
2021/08/12,377,74
2021/08/13,407,75
2021/08/14,463,76
2021/08/15,397,77
2021/08/16,400,78
2021/08/17,393,79
2021/08/18,380,80
2021/08/19,373,81
2021/08/20,367,82
2021/08/21,465,83
2021/08/22,394,84
2021/08/23,388,85
2021/08/24,352,86
2021/08/25,432,87
2021/08/26,360,88
2021/08/27,397,89
2021/08/28,417,90
2021/08/29,428,91
2021/08/30,425,92
2021/08/31,373,93
2021/09/01,377,94
2021/09/02,349,95
2021/09/03,432,96
2021/09/04,363,97
2021/09/05,367,98
2021/09/06,364,99
2021/09/07,349,100
2021/04/11,381,101
2021/04/12,454,102
2021/04/13,406,103
2021/04/14,414,104
2021/04/15,434,105
2021/04/16,406,106
2021/04/17,457,107
2021/04/18,357,108
2021/04/19,374,109
2021/04/20,394,110
2021/04/21,489,111
2021/04/22,457,112
2021/04/23,446,113
2021/04/24,366,114
2021/04/25,440,115
2021/04/26,439,116
2021/04/27,428,117
2021/04/28,417,118
2021/04/29,418,119
2021/04/30,411,120
2021/05/01,433,121
2021/05/02,440,122
2021/05/03,444,123
2021/05/04,406,124
2021/05/05,498,125
2021/05/06,449,126
2021/05/07,443,127
2021/05/08,397,128
2021/05/09,402,129
2021/05/10,460,130
2021/05/11,463,131
2021/05/12,457,132
2021/05/13,479,133
2021/05/14,467,134
2021/05/15,507,135
2021/05/16,484,136
2021/05/17,460,137
2021/05/18,510,138
2021/05/19,461,139
2021/05/20,430,140
2021/05/21,410,141
2021/05/22,410,142
2021/05/23,403,143
2021/05/24,406,144
2021/05/25,397,145
2021/05/26,421,146
2021/05/27,439,147
2021/05/28,424,148
2021/05/29,413,149
2021/05/30,485,150
2021/05/31,357,151
2021/06/01,415,152
2021/06/02,402,153
2021/06/03,269,154
2021/06/04,487,155
2021/06/05,426,156
2021/06/06,377,157
2021/06/07,350,158
2021/06/08,327,159
2021/06/09,364,160
2021/06/10,355,161
2021/06/11,370,162
2021/06/12,455,163
2021/06/13,393,164
2021/06/14,345,165
2021/06/15,386,166
2021/06/16,365,167
2021/06/17,444,168
2021/06/18,425,169
2021/06/19,432,170
2021/06/20,443,171
2021/06/21,397,172
2021/06/22,370,173
2021/06/23,374,174
2021/06/24,393,175
2021/06/25,390,176
2021/06/26,407,177
2021/06/27,355,178
2021/06/28,414,179
2021/06/29,388,180
2021/06/30,352,181
2021/07/01,382,182
2021/07/02,385,183
2021/07/03,396,184
2021/07/04,340,185
2021/07/05,312,186
2021/07/06,328,187
2021/07/07,342,188
2021/07/08,403,189
2021/07/09,443,190
2021/07/10,389,191
2021/07/11,374,192
2021/07/12,345,193
2021/07/13,325,194
2021/07/14,333,195
2021/07/15,367,196
2021/07/16,378,197
2021/07/17,426,198
2021/07/18,444,199
2021/07/19,452,200
2021/09/08,394,201
2021/09/09,407,202
2021/09/10,384,203
2021/09/11,435,204
2021/09/12,463,205
2021/09/13,412,206
2021/09/14,415,207
2021/09/15,423,208
2021/09/16,416,209
2021/09/17,383,210
2021/09/18,483,211
2021/09/19,566,212
2021/09/20,504,213
2021/09/21,550,214
2021/09/22,481,215
2021/09/23,423,216
2021/09/24,440,217
2021/09/25,440,218
2021/09/26,465,219
2021/09/27,548,220
2021/09/28,379,221
2021/09/29,439,222
2021/09/30,541,223
2021/10/01,528,224
2021/10/02,495,225
2021/10/03,436,226
2021/10/04,419,227
2021/10/05,422,228
2021/10/06,453,229
2021/10/07,433,230
2021/10/08,419,231
2021/10/09,413,232
2021/10/10,465,233
2021/10/11,517,234
2021/10/12,514,235
2021/10/13,470,236
2021/10/14,379,237
2021/10/15,416,238
2021/10/16,451,239
2021/10/17,528,240
2021/10/18,429,241
2021/10/19,386,242
2021/10/20,392,243
2021/10/21,450,244
2021/10/22,353,245
2021/10/23,404,246
2021/10/24,457,247
2021/10/25,422,248
2021/10/26,421,249
2021/10/27,442,250
2021/02/20,451,251
2021/02/21,498,252
2021/02/22,539,253
2021/02/23,578,254
2021/02/24,455,255
2021/02/25,405,256
2021/02/26,419,257
2021/02/27,415,258
2021/02/28,403,259
2021/03/01,453,260
2021/03/02,552,261
2021/03/03,474,262
2021/03/04,462,263
2021/03/05,485,264
2021/03/06,418,265
2021/03/07,402,266
2021/03/08,416,267
2021/03/09,467,268
2021/03/10,392,269
2021/03/11,378,270
2021/03/12,401,271
2021/03/13,489,272
2021/03/14,492,273
2021/03/15,410,274
2021/03/16,436,275
2021/03/17,487,276
2021/03/18,559,277
2021/03/19,466,278
2021/03/20,461,279
2021/03/21,470,280
2021/03/22,446,281
2021/03/23,471,282
2021/03/24,483,283
2021/03/25,478,284
2021/03/26,401,285
2021/03/27,454,286
2021/03/28,440,287
2021/03/29,430,288
2021/03/30,428,289
2021/03/31,501,290
2021/04/01,374,291
2021/04/02,443,292
2021/04/03,423,293
2021/04/04,451,294
2021/04/05,449,295
2021/04/06,455,296
2021/04/07,519,297
2021/04/08,462,298
2021/04/09,519,299
2021/04/10,398,300
2021/12/17,402,301
2021/12/18,425,302
2021/12/19,452,303
2021/12/20,476,304
2021/12/21,444,305
2021/12/22,450,306
2021/12/23,396,307
2021/12/24,388,308
2021/12/25,518,309
2021/12/26,427,310
2021/12/27,411,311
2021/12/28,447,312
2021/12/29,435,313
2021/12/30,528,314
2021/12/31,499,315
2022/01/01,506,316
2022/01/02,464,317
2022/01/03,405,318
2022/01/04,400,319
2022/01/05,408,320
2022/01/06,489,321
2022/01/07,493,322
2022/01/08,426,323
2022/01/09,437,324
2022/01/10,493,325
2022/01/11,413,326
2022/01/12,417,327
2022/01/13,486,328
2022/01/14,478,329
2022/01/15,486,330
2022/01/16,475,331
2022/01/17,471,332
2022/01/18,414,333
2022/01/19,410,334
2022/01/20,417,335
2022/01/21,491,336
2022/01/22,483,337
2022/01/23,459,338
2022/01/24,460,339
2022/01/25,411,340
2022/01/26,445,341
2022/01/27,431,342
2022/01/28,465,343
2022/01/29,442,344
2022/01/30,397,345
2022/01/31,392,346
2022/02/01,390,347
2022/02/02,398,348
2022/02/03,404,349
2022/02/04,462,350
2021/10/28,406,351
2021/10/29,393,352
2021/10/30,372,353
2021/10/31,367,354
2021/11/01,401,355
2021/11/02,387,356
2021/11/03,443,357
2021/11/04,417,358
2021/11/05,385,359
2021/11/06,345,360
2021/11/07,405,361
